treatment,group,image_number,cell_label,cell_area,granule_count,granules_per_area
GLU-40min,R326H,10,8,143.17559999999997,1,0.006984430307957502
GLU-40min,R326H,10,9,207.45719999999997,1,0.004820271361996596
GLU-40min,R326H,10,11,177.51959999999997,0,0.0
GLU-40min,R326H,10,12,224.2728,4,0.017835421861233283
GLU-40min,R326H,10,13,211.0536,3,0.014214398617223303
GLU-40min,R326H,10,15,204.99479999999997,5,0.024390862597490282
GLU-40min,R326H,10,16,132.41879999999998,1,0.007551797780979742
GLU-40min,R326H,10,17,169.35479999999998,0,0.0
GLU-40min,R326H,10,18,147.1608,0,0.0
GLU-40min,R326H,10,19,183.384,0,0.0
GLU-40min,R326H,10,20,216.3672,2,0.00924354523236424
GLU-40min,R326H,10,22,133.7148,1,0.007478603714772037
GLU-40min,R326H,10,23,181.27799999999996,0,0.0
GLU-40min,R326H,10,24,139.61159999999998,0,0.0
GLU-40min,R326H,10,25,143.6616,2,0.013921604659839512
GLU-40min,R326H,10,26,170.29439999999997,0,0.0
GLU-40min,R326H,10,27,135.2052,1,0.0073961652362483105
GLU-40min,R326H,10,28,195.37199999999996,0,0.0
GLU-40min,R326H,10,29,166.17959999999997,0,0.0
GLU-40min,R326H,10,30,239.69519999999997,4,0.01668786024918313
GLU-40min,R326H,10,32,305.79119999999995,6,0.019621231742443866
GLU-40min,R326H,10,33,114.69599999999998,0,0.0
GLU-40min,R326H,10,34,281.29679999999996,4,0.014219856038177471
GLU-40min,R326H,10,35,177.61679999999998,4,0.02252039221515082
GLU-40min,R326H,10,36,340.7184,2,0.005869950081944504
GLU-40min,R326H,10,37,155.6172,1,0.006426024886709182
GLU-40min,R326H,10,38,179.3988,4,0.022296693177434854
GLU-40min,R326H,10,39,233.63639999999998,3,0.012840464927554097
GLU-40min,R326H,10,41,241.31519999999998,3,0.012431873334128974
GLU-40min,R326H,10,42,193.3956,1,0.005170748455497436
GLU-40min,R326H,10,43,190.38240000000002,4,0.021010345494121303
GLU-40min,R326H,10,45,195.5664,4,0.02045341121992326
GLU-40min,R326H,10,46,134.136,0,0.0
GLU-40min,R326H,10,47,168.2532,1,0.0059434233643104566
GLU-40min,R326H,1,10,103.3236,0,0.0
GLU-40min,R326H,1,11,173.2428,3,0.017316736972618776
GLU-40min,R326H,1,12,112.16879999999999,1,0.008915135046465685
GLU-40min,R326H,1,13,163.58759999999998,0,0.0
GLU-40min,R326H,1,14,155.6172,3,0.019278074660127546
GLU-40min,R326H,1,15,156.36239999999998,2,0.012790798810967344
GLU-40min,R326H,1,16,131.5764,0,0.0
GLU-40min,R326H,1,17,132.1272,1,0.007568464328313929
GLU-40min,R326H,1,18,146.448,4,0.027313449142357695
GLU-40min,R326H,1,20,194.9508,0,0.0
GLU-40min,R326H,1,21,145.18439999999998,0,0.0
GLU-40min,R326H,1,22,149.59079999999997,0,0.0
GLU-40min,R326H,1,23,136.9872,3,0.02189985633694243
GLU-40min,R326H,1,24,236.13119999999998,1,0.0042349337995148464
GLU-40min,R326H,1,26,152.47439999999997,0,0.0
GLU-40min,R326H,1,27,155.3904,1,0.006435403988920808
GLU-40min,R326H,1,28,135.04319999999998,0,0.0
GLU-40min,R326H,1,29,158.4684,2,0.012620812729856552
GLU-40min,R326H,1,30,129.7944,0,0.0
GLU-40min,R326H,1,31,135.3996,0,0.0
GLU-40min,R326H,1,32,182.4768,3,0.016440446127946127
GLU-40min,R326H,1,33,164.5596,2,0.01215365132146651
GLU-40min,R326H,1,34,94.64039999999999,0,0.0
GLU-40min,R326H,1,35,82.19879999999999,0,0.0
GLU-40min,R326H,1,36,74.7468,0,0.0
GLU-40min,R326H,1,37,114.14519999999999,0,0.0
GLU-40min,R326H,1,38,142.0092,2,0.014083594584012867
GLU-40min,R326H,1,39,131.2524,3,0.022856724905601727
GLU-40min,R326H,1,40,213.6132,1,0.004681358642630699
GLU-40min,R326H,1,41,140.45399999999998,0,0.0
GLU-40min,R326H,1,42,149.2344,1,0.006700867896409943
GLU-40min,R326H,1,43,125.55,0,0.0
GLU-40min,R326H,1,44,74.55239999999999,0,0.0
GLU-40min,R326H,1,45,121.2084,1,0.008250253282775781
GLU-40min,R326H,1,47,121.53239999999998,0,0.0
GLU-40min,R326H,1,48,123.44399999999999,2,0.01620167849389197
GLU-40min,R326H,1,49,118.3248,2,0.016902627344394412
GLU-40min,R326H,1,50,177.00119999999998,2,0.011299358422428775
GLU-40min,R326H,1,51,131.058,0,0.0
GLU-40min,R326H,1,52,74.7144,5,0.06692150375295794
GLU-40min,R326H,1,53,94.8996,2,0.02107490442530843
GLU-40min,R326H,1,54,154.7748,2,0.012922000222258404
GLU-40min,R326H,1,55,164.7864,3,0.018205385881359143
GLU-40min,R326H,1,56,123.34679999999999,0,0.0
GLU-40min,R326H,1,57,111.52079999999998,0,0.0
GLU-40min,R326H,1,58,127.2996,3,0.023566452683276302
GLU-40min,R326H,1,60,128.4984,0,0.0
GLU-40min,R326H,1,61,65.3184,5,0.07654810895551636
GLU-40min,R326H,1,62,137.214,0,0.0
